model_type,model,eval_method,n_candidates,k,hit_rate,mrr,precision,recall,ndcg
Sequential,CBF+SASRec,cbf_reranking,250,1,0.03803803803803804,0.03803803803803804,0.03803803803803804,0.021021021021021023,0.03803803803803804
Sequential,CBF+SASRec,cbf_reranking,250,5,0.12412412412412413,0.06865198531865198,0.02642642642642643,0.07180513847180514,0.05502418792417261
Sequential,CBF+SASRec,cbf_reranking,250,10,0.18018018018018017,0.07596207318429542,0.020420420420420422,0.11338004671338003,0.07046219444307132
Sequential,CBF+SASRec,cbf_reranking,500,1,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.021521521521521522,0.037037037037037035
Sequential,CBF+SASRec,cbf_reranking,500,5,0.13413413413413414,0.07267267267267266,0.028228228228228232,0.07842842842842843,0.0594111827809022
Sequential,CBF+SASRec,cbf_reranking,500,10,0.19119119119119118,0.08021116354449688,0.021721721721721723,0.1216383049716383,0.07553504322016867
Sequential,CBF+SASRec,cbf_reranking,1000,1,0.04004004004004004,0.04004004004004004,0.04004004004004004,0.02302302302302302,0.04004004004004004
Sequential,CBF+SASRec,cbf_reranking,1000,5,0.13213213213213212,0.07300633967300635,0.02862862862862863,0.07831164497831163,0.059901201666581735
Sequential,CBF+SASRec,cbf_reranking,1000,10,0.2092092092092092,0.08323799990466657,0.023623623623623625,0.12922922922922922,0.07909701092877036
Sequential,CBF+GRU4Rec,cbf_reranking,250,1,0.043043043043043044,0.043043043043043044,0.043043043043043044,0.02150483817150484,0.043043043043043044
Sequential,CBF+GRU4Rec,cbf_reranking,250,5,0.12712712712712712,0.0741408074741408,0.026826826826826827,0.07409075742409074,0.057475296818900595
Sequential,CBF+GRU4Rec,cbf_reranking,250,10,0.17917917917917917,0.08087412809635032,0.01961961961961962,0.10885885885885886,0.07031825565648178
Sequential,CBF+GRU4Rec,cbf_reranking,500,1,0.04104104104104104,0.04104104104104104,0.04104104104104104,0.020003336670003338,0.04104104104104104
Sequential,CBF+GRU4Rec,cbf_reranking,500,5,0.12612612612612611,0.07110443777110444,0.026426426426426425,0.07325658992325658,0.055294290159595215
Sequential,CBF+GRU4Rec,cbf_reranking,500,10,0.17417417417417416,0.07754222476444698,0.019219219219219222,0.10682349015682349,0.06785768173547384
Sequential,CBF+GRU4Rec,cbf_reranking,1000,1,0.043043043043043044,0.043043043043043044,0.043043043043043044,0.021388054721388054,0.043043043043043044
Sequential,CBF+GRU4Rec,cbf_reranking,1000,5,0.12412412412412413,0.07220553887220553,0.026826826826826824,0.07092092092092092,0.05560722187344919
Sequential,CBF+GRU4Rec,cbf_reranking,1000,10,0.1841841841841842,0.07990013823347157,0.02052052052052052,0.11202869536202868,0.07057519854795809
Sequential,CBF+NARM,cbf_reranking,250,1,0.04904904904904905,0.04904904904904905,0.04904904904904905,0.027560894227560893,0.04904904904904905
Sequential,CBF+NARM,cbf_reranking,250,5,0.12012012012012012,0.07472472472472472,0.02582582582582583,0.07242242242242242,0.05907261674316541
