model,model_display,prompt_idx,temperature,n_trials,raw_ndcg@10_mean,raw_ndcg@10_std,strict_ndcg@10_mean,strict_ndcg@10_std,candidate_valid_rate@10_mean,raw_jaccard_distance@10,strict_jaccard_distance@10,raw_list_position_distance@10,strict_list_position_distance@10,raw_exact_list_agreement@10,strict_exact_list_agreement@10,raw_item_coverage@10,raw_unique_items@10,raw_avg_popularity@10,raw_catalog_match_rate@10,strict_item_coverage@10,strict_unique_items@10,strict_avg_popularity@10,strict_catalog_match_rate@10,raw_ndcg@10_cv,strict_ndcg@10_cv
Gemma-2-9B,Gemma-2-9B,544,0.0,20,0.0,0.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,1.0,1.0,0.0011554015020219526,8.0,56.125,0.8000000000000002,0.0004332755632582322,3.0,4.333333333333332,0.29999999999999993,,
Gemma-2-9B,Gemma-2-9B,544,0.5,20,0.0,0.0,0.0,0.0,0.6600000000000001,0.7476464218887225,0.7519520830047147,0.8689473684210528,0.7315789473684211,0.0,0.0,0.005343731946851531,37.0,44.68686507936508,0.86,0.003610629693818602,25.0,25.572698412698415,0.5599999999999999,,
Gemma-2-9B,Gemma-2-9B,544,1.0,20,0.0,0.0,0.0,0.0,0.7250000000000001,0.8362396751086258,0.8308835299547372,0.9347368421052633,0.8494736842105265,0.0,0.0,0.008232235701906412,57.0,41.48,0.82,0.006210283073367995,43.0,28.73360484544695,0.635,,
Gemma-2-9B,Gemma-2-9B,544,2.0,20,0.0,0.0,0.0,0.0,0.09000000000000001,0.9956455178491596,0.7037280701754385,0.9273684210526315,0.1563157894736842,0.0,0.29473684210526313,0.0027440785673021376,19.0,34.92727272727273,0.12000000000000002,0.0015886770652801848,11.0,23.8125,0.07000000000000002,,
Gemma-2-9B,Gemma-2-9B,636,0.0,20,0.6131471927654584,0.0,0.0,0.0,0.6999999999999998,0.11228070175438598,0.1497076023391813,0.10105263157894737,0.10105263157894737,0.6631578947368421,0.6631578947368421,0.0017331022530329288,12.0,31.74,1.0,0.0012998266897746968,9.0,33.057142857142864,0.6999999999999998,0.0,
Gemma-2-9B,Gemma-2-9B,636,0.5,20,0.5824898331271855,0.1371038803236732,0.0,0.0,0.7000000000000001,0.7728480678700655,0.8047588230482966,0.8336842105263159,0.7415789473684211,0.0,0.0,0.005777007510109763,40.0,23.899583333333332,0.85,0.004910456383593298,34.0,22.680868838763576,0.6649999999999999,0.2353755765789252,
Gemma-2-9B,Gemma-2-9B,636,1.0,20,0.5098603945740938,0.2254462633252251,0.0,0.0,0.35500000000000004,0.9134199308060723,0.8760328925460504,0.9094736842105263,0.5242105263157895,0.0,0.07894736842105263,0.007943385326400924,55.0,17.42128237259816,0.575,0.004910456383593298,34.0,13.923214285714284,0.32500000000000007,0.4421725353143955,
Gemma-2-9B,Gemma-2-9B,636,2.0,20,0.09197207891481876,0.22462497095922415,0.0,0.0,0.1,0.9859177253639124,0.7517543859649122,0.9089473684210527,0.16894736842105268,0.0,0.23684210526315788,0.0030329289428076256,21.0,15.76923076923077,0.14500000000000002,0.002021952628538417,14.0,6.033333333333333,0.09000000000000001,2.4423169902168214,
Gemma-2-9B,Gemma-2-9B,640,0.0,20,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0011554015020219526,8.0,50.625,0.8000000000000002,0.0007221259387637204,5.0,48.39999999999999,0.5,,
Gemma-2-9B,Gemma-2-9B,640,0.5,20,0.0,0.0,0.0,0.0,0.6349999999999999,0.42662547978337445,0.47253778385357337,0.7194736842105266,0.48157894736842105,0.0,0.0,0.0028885037550548816,20.0,42.14361111111111,0.9099999999999999,0.002455228191796649,17.0,35.5375,0.6349999999999999,,
Gemma-2-9B,Gemma-2-9B,640,1.0,20,0.0,0.0,0.0,0.0,0.5399999999999999,0.6870673899769957,0.7885880055616897,0.8726315789473685,0.5757894736842105,0.0,0.005263157894736842,0.005632582322357019,39.0,43.16686507936508,0.78,0.004766031195840554,33.0,34.36652777777778,0.51,,
Gemma-2-9B,Gemma-2-9B,640,2.0,20,0.0,0.0,0.0,0.0,0.18,0.9900448519714856,0.9109586466165414,0.9100000000000001,0.26263157894736844,0.0,0.06315789473684211,0.0034662045060658577,24.0,22.581249999999997,0.18,0.0030329289428076256,21.0,22.52916666666667,0.16499999999999998,,
Gemma-2-9B,Gemma-2-9B,681,0.0,20,0.0,0.0,0.0,0.0,0.5999999999999999,0.06124401913875596,0.09624060150375939,0.10105263157894737,0.03368421052631579,0.6631578947368421,0.6631578947368421,0.0010109763142692085,7.0,45.6,0.5999999999999999,0.0007221259387637204,5.0,42.9,0.4000000000000001,,
Gemma-2-9B,Gemma-2-9B,681,0.5,20,0.0,0.0,0.0,0.0,0.54,0.5396880810967498,0.6241677620624989,0.7210526315789474,0.5021052631578946,0.0,0.005263157894736842,0.00389948006932409,27.0,41.698412698412696,0.7050000000000001,0.0030329289428076256,21.0,39.47857142857143,0.43500000000000005,,
